id,latitude,longitude,heading,route_id,predictable,seconds_since_report,run_id,time,time_adjusted
8299,34.030918,-118.385307,56.0,33,True,95,33_589_0,2022-02-22 10:24:45,2022-02-22 10:23:10
4172,34.047173,-118.346664,260.0,33,True,174,33_575_1,2022-02-22 10:24:45,2022-02-22 10:21:51
4151,34.043461,-118.2836,285.0,33,True,17,33_575_1,2022-02-22 10:24:45,2022-02-22 10:24:28
8116,34.04269,-118.247803,-4.0,33,False,226,nan,2022-02-22 10:24:45,2022-02-22 10:20:59
8312,34.001358,-118.43811,59.0,33,True,95,33_589_0,2022-02-22 10:24:45,2022-02-22 10:23:10
8136,34.012413,-118.494164,120.0,33,True,252,33_589_0,2022-02-22 10:24:45,2022-02-22 10:20:33
8114,34.020058,-118.404419,56.0,33,True,121,33_593_0,2022-02-22 10:24:45,2022-02-22 10:22:44
4079,34.045906,-118.34584,75.0,33,True,174,33_593_0,2022-02-22 10:24:45,2022-02-22 10:21:51
8159,34.057621,-118.230927,21.0,33,True,95,33_575_1,2022-02-22 10:24:45,2022-02-22 10:23:10
8274,33.993851,-118.452957,45.0,33,True,17,33_575_1,2022-02-22 10:24:45,2022-02-22 10:24:28
4093,34.002789,-118.435555,225.0,33,True,148,33_574_1,2022-02-22 10:24:45,2022-02-22 10:22:17
8146,34.057018,-118.231216,276.0,33,True,148,33_575_1,2022-02-22 10:24:45,2022-02-22 10:22:17
8303,34.043652,-118.300514,75.0,33,True,121,33_589_0,2022-02-22 10:24:45,2022-02-22 10:22:44
8269,34.045029,-118.25013,30.0,33,True,95,33_589_0,2022-02-22 10:24:45,2022-02-22 10:23:10
8140,34.017941,-118.408546,225.0,33,True,43,33_575_1,2022-02-22 10:24:45,2022-02-22 10:24:02
3984,34.035786,-118.377213,236.0,33,True,174,33_574_1,2022-02-22 10:24:45,2022-02-22 10:21:51
3985,34.0487139,-118.24633,75.0,33,False,95,nan,2022-02-22 10:24:45,2022-02-22 10:23:10
3944,33.994015,-118.476006,220.0,33,True,43,33_593_0,2022-02-22 10:24:45,2022-02-22 10:24:02
3967,34.041397,-118.279007,105.0,33,True,148,33_593_0,2022-02-22 10:24:45,2022-02-22 10:22:17
8299,34.030918,-118.385307,56.0,33,True,103,33_589_0,2022-02-22 10:24:55,2022-02-22 10:23:12
4172,34.047173,-118.346664,260.0,33,True,181,33_575_1,2022-02-22 10:24:55,2022-02-22 10:21:54
4151,34.043461,-118.2836,285.0,33,True,25,33_575_1,2022-02-22 10:24:55,2022-02-22 10:24:30
